0
1|Landwirtschaft
2|Bergbau
3|Industrie
4|Strom-, Gas- und Wasserversorgung
5|Bauwesen
6|Transport, Logistik und Import-Export
7|IT, Computerdienstleistungen und Software
8|Großhandel und Einzelhandel
9|Gastronomie und Cateringdienste
10|Finanzdienstleistungen
11|Immobilien
12|Dienstleistungen für Unternehmen
13|Forschung, technische Dienste und geologische Erkundung
14|Umwelt
15|Bildungswesen
16|Dienstleistungen im Gesundheits-, Sozialversicherungs- und Sozialhilfewesen
17|Kultur, Sport und Unterhaltung
18|PR, Medien und Kommunikation
19|Internationales Gewerbe
20|Sonstige
