Log data
地址       消息
76FA0000   Module C:\WINDOWS.0\system32\clbcatq.dll
77020000   Module C:\WINDOWS.0\system32\comres.dll
74CF0000   Module C:\WINDOWS.0\system32\mlang.dll
39700000   Module C:\Program Files\Tencent\QQIntl\Bin\RICHED20.DLL
01BD0000   Module C:\Program Files\Tencent\QQIntl\Bin\PreloginLogic.dll
34300000   Module C:\Program Files\Common Files\Tencent\TXSSO\1.2.2.1\bin\SSOPlatform.dll
34000000   Module C:\Program Files\Common Files\Tencent\TXSSO\1.2.2.1\bin\SSOCommon.dll
62000000   Module C:\Program Files\Tencent\QQIntl\Bin\TaskTray.dll
66200000   Module C:\Program Files\Tencent\QQIntl\Bin\AppFramework.dll
7C8106E9   ID 0000053C 的新线程已创建
68000000   Module C:\WINDOWS.0\system32\rsaenh.dll
           线程 0000053C 已终止, 退出代码 0
7C8106E9   ID 00000590 的新线程已创建
           线程 00000590 已终止, 退出代码 0
7C8106E9   ID 0000079C 的新线程已创建
7C8106E9   ID 0000046C 的新线程已创建
02930000   Module C:\WINDOWS.0\system32\xpsp2res.dll
7C8106E9   ID 0000059C 的新线程已创建
7C8106E9   ID 00000748 的新线程已创建
32000000   Module C:\Program Files\Tencent\QQIntl\Bin\TXPFProxy.dll
7C8106E9   ID 00000614 的新线程已创建
7C8106E9   ID 00000568 的新线程已创建
71A25D88   断点位于 ws2_32.71A25D88
00400000   卸载 C:\Program Files\Tencent\QQIntl\Bin\QQ.exe
00A30000   卸载 C:\Program Files\Tencent\QQIntl\Bin\lua.dll
00A90000   卸载 C:\Program Files\Tencent\QQIntl\Bin\AFUtil.dll
01640000   卸载 C:\Program Files\Tencent\QQIntl\Bin\IPC.dll
01BD0000   卸载 C:\Program Files\Tencent\QQIntl\Bin\PreloginLogic.dll
02930000   卸载 C:\WINDOWS.0\system32\xpsp2res.dll
10000000   卸载 C:\Program Files\Tencent\QQIntl\Bin\arkIOStub.dll
11000000   卸载 C:\Program Files\Tencent\QQIntl\Bin\libexpatw.dll
11100000   卸载 C:\Program Files\Tencent\QQIntl\Bin\tinyxml.dll
11200000   卸载 C:\Program Files\Tencent\QQIntl\Bin\xImage.dll
11300000   卸载 C:\Program Files\Tencent\QQIntl\Bin\libpng.dll
11400000   卸载 C:\Program Files\Tencent\QQIntl\Bin\libjpegturbo.dll
11500000   卸载 C:\Program Files\Tencent\QQIntl\Bin\jgImage.dll
11800000   卸载 C:\Program Files\Tencent\QQIntl\Bin\ProcessSession.dll
11E00000   卸载 C:\Program Files\Tencent\QQIntl\Bin\UtilGif.dll
11F00000   卸载 C:\Program Files\Tencent\QQIntl\Bin\zlib.dll
12200000   卸载 C:\Program Files\Tencent\QQIntl\Bin\arkGraphic.dll
30000000   卸载 C:\Program Files\Tencent\QQIntl\Bin\Common.dll
30800000   卸载 C:\Program Files\Tencent\QQIntl\Bin\GF.dll
31800000   卸载 C:\Program Files\Tencent\QQIntl\Bin\KernelUtil.dll
32000000   卸载 C:\Program Files\Tencent\QQIntl\Bin\TXPFProxy.dll
32100000   卸载 C:\Program Files\Tencent\QQIntl\Bin\xGraphic32.dll
34000000   卸载 C:\Program Files\Common Files\Tencent\TXSSO\1.2.2.1\bin\SSOCommon.dll
34300000   卸载 C:\Program Files\Common Files\Tencent\TXSSO\1.2.2.1\bin\SSOPlatform.dll
39700000   卸载 C:\Program Files\Tencent\QQIntl\Bin\RICHED20.DLL
4AE90000   卸载 C:\WINDOWS.0\WinSxS\x86_Microsoft.Windows.GdiPlus_6595b64144ccf1df_1.0.6002.22509_x-ww_c7dad023\GdiPlus.dll
5FDD0000   卸载 C:\WINDOWS.0\system32\netapi32.dll
60B30000   卸载 C:\Program Files\Tencent\QQIntl\Bin\msvcp60.dll
61210000   卸载 C:\Program Files\Tencent\QQIntl\Bin\AppUtil.dll
62000000   卸载 C:\Program Files\Tencent\QQIntl\Bin\TaskTray.dll
62C20000   卸载 C:\WINDOWS.0\system32\lpk.dll
65100000   卸载 C:\Program Files\Tencent\QQIntl\Bin\LoginPanel.dll
65700000   卸载 C:\Program Files\Tencent\QQIntl\Bin\AFCtrl.dll
66200000   卸载 C:\Program Files\Tencent\QQIntl\Bin\AppFramework.dll
67000000   卸载 C:\Program Files\Tencent\QQIntl\Bin\FlashService.dll
67400000   卸载 C:\Program Files\Tencent\QQIntl\Bin\AppMisc.dll
68000000   卸载 C:\WINDOWS.0\system32\rsaenh.dll
68800000   卸载 C:\Program Files\Tencent\QQIntl\Bin\AFBase.dll
68D60000   卸载 C:\WINDOWS.0\system32\dbghelp.dll
