Log data
地址       消息
76B10000   Module C:\WINDOWS.0\system32\winmm.dll
73AF0000   Module C:\WINDOWS.0\system32\avicap32.dll
77BD0000   Module C:\WINDOWS.0\system32\version.dll
73B40000   Module C:\WINDOWS.0\system32\msvfw32.dll
7D590000   Module C:\WINDOWS.0\system32\shell32.dll
76060000   Module C:\WINDOWS.0\system32\setupapi.dll
76D30000   Module C:\WINDOWS.0\system32\iphlpapi.dll
68D60000   Module C:\WINDOWS.0\system32\dbghelp.dll
11100000   Module C:\Program Files\Tencent\QQIntl\Bin\tinyxml.dll
7C420000   Module C:\WINDOWS.0\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.4053_x-ww_e6967989\msvcp80.dll
76320000   Module C:\WINDOWS.0\system32\comdlg32.dll
76C00000   Module C:\WINDOWS.0\system32\wintrust.dll
76C60000   Module C:\WINDOWS.0\system32\imagehlp.dll
5FDD0000   Module C:\WINDOWS.0\system32\netapi32.dll
76EB0000   Module C:\WINDOWS.0\system32\rasapi32.dll
76E60000   Module C:\WINDOWS.0\system32\rasman.dll
76E80000   Module C:\WINDOWS.0\system32\tapi32.dll
76E50000   Module C:\WINDOWS.0\system32\rtutils.dll
31800000   Module C:\Program Files\Tencent\QQIntl\Bin\KernelUtil.dll
11200000   Module C:\Program Files\Tencent\QQIntl\Bin\xImage.dll
11300000   Module C:\Program Files\Tencent\QQIntl\Bin\libpng.dll
11400000   Module C:\Program Files\Tencent\QQIntl\Bin\libjpegturbo.dll
30800000   Module C:\Program Files\Tencent\QQIntl\Bin\GF.dll
32100000   Module C:\Program Files\Tencent\QQIntl\Bin\xGraphic32.dll
762F0000   Module C:\WINDOWS.0\system32\msimg32.dll
12200000   Module C:\Program Files\Tencent\QQIntl\Bin\arkGraphic.dll
11500000   Module C:\Program Files\Tencent\QQIntl\Bin\jgImage.dll
10000000   Module C:\Program Files\Tencent\QQIntl\Bin\arkIOStub.dll
00A30000   Module C:\Program Files\Tencent\QQIntl\Bin\lua.dll
74BE0000   Module C:\WINDOWS.0\system32\oleacc.dll
60B30000   Module C:\Program Files\Tencent\QQIntl\Bin\msvcp60.dll
75C60000   Module C:\WINDOWS.0\system32\urlmon.dll
68800000   Module C:\Program Files\Tencent\QQIntl\Bin\AFBase.dll
61210000   Module C:\Program Files\Tencent\QQIntl\Bin\AppUtil.dll
00A90000   Module C:\Program Files\Tencent\QQIntl\Bin\AFUtil.dll
01640000   Module C:\Program Files\Tencent\QQIntl\Bin\IPC.dll
67000000   Module C:\Program Files\Tencent\QQIntl\Bin\FlashService.dll
